volcano_number,volcano_name,eruption_number,eruption_category,start_year,start_month,start_day,end_year,end_month,end_day,latitude,longitude
300260,Klyuchevskoy,20992,Confirmed Eruption,2015.0,1.0,1.0,2015.0,5.0,10.0,56.056000000000004,160.642
243040,Hunga Tonga-Hunga Ha'apai,20983,Confirmed Eruption,2014.0,12.0,19.0,2015.0,1.0,23.0,-20.535999999999998,-175.382
268060,Gamalama,20989,Confirmed Eruption,2014.0,12.0,18.0,2014.0,12.0,25.0,0.8,127.33
290290,Sinarka,20980,Uncertain Eruption,2014.0,12.0,3.0,2014.0,12.0,3.0,48.873000000000005,154.18200000000002
357120,Villarrica,20996,Confirmed Eruption,2014.0,12.0,2.0,2020.0,4.0,13.0,-39.42,-71.93
257050,Lopevi,20986,Uncertain Eruption,2014.0,12.0,1.0,2014.0,12.0,15.0,-16.507,168.34599999999998
384010,Fogo,20977,Confirmed Eruption,2014.0,11.0,23.0,2015.0,2.0,8.0,14.95,-24.35
290260,Chirinkotan,22223,Confirmed Eruption,2014.0,11.0,21.0,2015.0,8.0,10.0,48.98,153.48
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,2014.0,11.0,18.0,2017.0,5.0,29.0,4.8919999999999995,-75.324
390090,Saunders,22271,Confirmed Eruption,2014.0,11.0,12.0,2020.0,1.0,28.0,-57.8,-26.483
312030,Pavlof,20975,Confirmed Eruption,2014.0,11.0,12.0,2014.0,11.0,15.0,55.417,-161.894
345070,Turrialba,20974,Confirmed Eruption,2014.0,10.0,29.0,2014.0,12.0,8.0,10.025,-83.76700000000001
264180,Lewotobi,20973,Uncertain Eruption,2014.0,10.0,6.0,2014.0,10.0,6.0,-8.542,122.775
283040,Ontakesan,20964,Confirmed Eruption,2014.0,9.0,27.0,2014.0,10.0,14.0,35.893,137.48
345020,Rincon de la Vieja,20961,Confirmed Eruption,2014.0,9.0,17.0,2014.0,10.0,24.0,10.83,-85.324
282110,Asosan,20960,Confirmed Eruption,2014.0,8.0,30.0,2016.0,5.0,1.0,32.884,131.10399999999998
373030,Bardarbunga,20955,Confirmed Eruption,2014.0,8.0,29.0,2015.0,2.0,27.0,64.633,-17.516
342110,Pacaya,22222,Confirmed Eruption,2014.0,8.0,25.0,2015.0,2.0,17.0,14.382,-90.601
273030,Mayon,20959,Confirmed Eruption,2014.0,8.0,12.0,2014.0,10.0,19.0,13.257,123.685
354006,Sabancaya,20953,Uncertain Eruption,2014.0,8.0,5.0,2014.0,12.0,27.0,-15.787,-71.857
282050,Kuchinoerabujima,20952,Confirmed Eruption,2014.0,8.0,3.0,2014.0,8.0,3.0,30.443,130.217
344020,San Cristobal,22267,Confirmed Eruption,2014.0,7.0,20.0,2014.0,10.0,1.0,12.702,-87.00399999999999
252140,Rabaul,20957,Confirmed Eruption,2014.0,7.0,7.0,2014.0,9.0,18.0,-4.271,152.203
357090,Copahue,20954,Confirmed Eruption,2014.0,7.0,4.0,2014.0,12.0,2.0,-37.856,-71.183
251020,Manam,20956,Confirmed Eruption,2014.0,6.0,29.0,2020.0,4.0,9.0,-4.08,145.037
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,2014.0,6.0,21.0,2014.0,6.0,21.0,-21.244,55.708
267020,Karangetang,20914,Confirmed Eruption,2014.0,6.0,8.0,2016.0,3.0,15.0,2.781,125.40700000000001
300120,Zhupanovsky,20908,Confirmed Eruption,2014.0,6.0,6.0,2016.0,3.0,24.0,53.589,159.15
312030,Pavlof,20909,Confirmed Eruption,2014.0,5.0,31.0,2014.0,6.0,2.0,55.417,-161.894
264050,Sangeang Api,20911,Confirmed Eruption,2014.0,5.0,30.0,2015.0,11.0,5.0,-8.2,119.07
223020,Nyamuragira,20942,Confirmed Eruption,2014.0,5.0,30.0,2016.0,5.0,14.0,-1.4080000000000001,29.2
284141,Ahyi,20936,Confirmed Eruption,2014.0,4.0,24.0,2014.0,5.0,17.0,20.42,145.03
263300,Semeru,22221,Confirmed Eruption,2014.0,4.0,1.0,2020.0,4.0,17.0,-8.107999999999999,112.92200000000001
262000,Krakatau,20932,Confirmed Eruption,2014.0,3.0,31.0,2014.0,3.0,31.0,-6.102,105.42299999999999
251030,Karkar,20910,Confirmed Eruption,2014.0,3.0,26.0,2014.0,3.0,27.0,-4.649,145.964
263250,Merapi,20892,Confirmed Eruption,2014.0,3.0,9.0,2014.0,4.0,20.0,-7.54,110.446
263180,Slamet,20933,Confirmed Eruption,2014.0,3.0,8.0,2014.0,9.0,17.0,-7.242000000000001,109.208
263280,Kelut,20934,Confirmed Eruption,2014.0,2.0,13.0,2014.0,2.0,15.0,-7.93,112.30799999999999
267020,Karangetang,20913,Confirmed Eruption,2014.0,2.0,9.0,2014.0,2.0,9.0,2.781,125.40700000000001
344020,San Cristobal,20941,Confirmed Eruption,2014.0,2.0,4.0,2014.0,4.0,11.0,12.702,-87.00399999999999
261140,Marapi,20931,Confirmed Eruption,2014.0,2.0,3.0,2014.0,2.0,26.0,-0.38,100.47399999999999
255060,Kavachi,20920,Confirmed Eruption,2014.0,1.0,29.0,2014.0,1.0,29.0,-8.991,157.97899999999998
311360,Shishaldin,20937,Confirmed Eruption,2014.0,1.0,28.0,2015.0,10.0,16.0,54.756,-163.97
282110,Asosan,20935,Confirmed Eruption,2014.0,1.0,13.0,2014.0,2.0,19.0,32.884,131.10399999999998
263340,Raung,21069,Uncertain Eruption,2014.0,1.0,4.0,2014.0,1.0,4.0,-8.119,114.056
